iter,nfev,E
 935, 1864,-108.647227292170
 936, 1866,-108.647220862789
 937, 1868,-108.647226529675
 938, 1870,-108.647224882578
 939, 1871,-108.647228586756
 940, 1873,-108.647222720275
 941, 1874,-108.647260863588
 942, 1876,-108.647210365903
 943, 1878,-108.647280329786
 944, 1880,-108.647288261938
 945, 1882,-108.647289425611
 946, 1884,-108.647287380901
 947, 1886,-108.647278998169
 948, 1887,-108.647315878174
 949, 1889,-108.647293414152
 950, 1891,-108.647324961269
 951, 1893,-108.647306565261
 952, 1895,-108.647323170106
 953, 1897,-108.647335080238
 954, 1899,-108.647324617060
 955, 1901,-108.647316924504
 956, 1903,-108.647317293439
 957, 1905,-108.647320426079
